discipline,discipline_cn,paper_n,country_cn,discipline_code,discipline_category
0816 Surveying and Mapping,测绘科学与技术,14,保加利亚,08,工学
0712 History of Science and Technology,科学技术史,13,保加利亚,07,理学
0705 Geography,地理学,12,保加利亚,07,理学
0815 Hydraulic Engineering,水利工程,12,保加利亚,08,工学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,12,保加利亚,08,工学
0823 Transportation Engineering,交通运输工程,11,保加利亚,08,工学
1003 Stomatology,口腔医学,11,保加利亚,10,医学
0303 Sociology,社会学,10,保加利亚,03,法学
0809 Electronic Science and Technology,电子科学与技术,9,保加利亚,08,工学
0828 Agricultural Engineering,农业工程,9,保加利亚,08,工学
0905 Animal Science,畜牧学,9,保加利亚,09,农学
1204 Public Administration,公共管理,9,保加利亚,12,管理学
0707 Marine Science,海洋科学,8,保加利亚,07,理学
0709 Geology,地质学,8,保加利亚,07,理学
0819 Mining Engineering,矿业工程,8,保加利亚,08,工学
1202 Business Administration,工商管理,8,保加利亚,12,管理学
0833 Urban and Rural Planning,城乡规划学,7,保加利亚,08,工学
0818 Geological Resources and Geological Engineering,地质资源与地质工程,6,保加利亚,08,工学
0837 Safety Science and Engineering,安全科学与工程,6,保加利亚,08,工学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,6,保加利亚,09,农学
1205 Library and Information Science & Archive Management,图书情报与档案管理,6,保加利亚,12,管理学
0101 Philosophy,哲学,5,保加利亚,01,哲学
0301 Law,法学,5,保加利亚,03,法学
0711 Systems Science,系统科学,5,保加利亚,07,理学
0808 Electrical Engineering,电气工程,5,保加利亚,08,工学
0901 Crop Science,作物学,5,保加利亚,09,农学
0907 Forestry,林学,5,保加利亚,09,农学
0302 Political Science,政治学,4,保加利亚,03,法学
0813 Architecture,建筑学,4,保加利亚,08,工学
1008 Chinese Materia Medica,中药学,4,保加利亚,10,医学
0826 Armament Science and Technology,兵器科学与技术,3,保加利亚,08,工学
1302 Music and Dance,音乐与舞蹈学,3,保加利亚,13,艺术学
0601 Archaeology,考古学,2,保加利亚,06,历史学
0603 World History,世界史,2,保加利亚,06,历史学
0821 Textile Science and Engineering,纺织科学与工程,2,保加利亚,08,工学
0822 Light Industry Technology and Engineering,轻工技术与工程,2,保加利亚,08,工学
0906 Veterinary Medicine,兽医学,2,保加利亚,09,农学
1203 Economics and Management of Agriculture and Forestry,农林经济管理,2,保加利亚,12,管理学
0503 Journalism and Communication,新闻传播学,1,保加利亚,05,文学
0829 Forestry Engineering,林业工程,1,保加利亚,08,工学
0902 Horticulture,园艺学,1,保加利亚,09,农学
0904 Plant Protection,植物保护,1,保加利亚,09,农学
0908 Fisheries,水产,1,保加利亚,09,农学
0909 Grassland Science,草学,1,保加利亚,09,农学
0702 Physics,物理学,960,克罗地亚,07,理学
0704 Astronomy,天文学,317,克罗地亚,07,理学
1002 Clinical Medicine,临床医学,169,克罗地亚,10,医学
0710 Biology,生物学,127,克罗地亚,07,理学
0703 Chemistry,化学,81,克罗地亚,07,理学
1001 Basic Medicine,基础医学,79,克罗地亚,10,医学
0820 Oil and Natural Gas Engineering,石油与天然气工程,70,克罗地亚,08,工学
0805 Materials Science and Engineering,材料科学与工程,67,克罗地亚,08,工学
0830 Environmental Science and Engineering,环境科学与工程,67,克罗地亚,08,工学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,60,克罗地亚,10,医学
0701 Mathematics,数学,47,克罗地亚,07,理学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,46,克罗地亚,08,工学
0804 Instrumentation Science and Technology,仪器科学与技术,42,克罗地亚,08,工学
0812 Computer Science and Technology,计算机科学与技术,40,克罗地亚,08,工学
0801 Mechanics,力学,35,克罗地亚,08,工学
0708 Geophysics,地球物理学,33,克罗地亚,07,理学
1400 Cross-field,,32,克罗地亚,14,跨学科
0402 Psychology,心理学,23,克罗地亚,04,教育学
0814 Civil Engineering,土木工程,23,克罗地亚,08,工学
1010 Medical Technology,医学技术,23,克罗地亚,10,医学
0802 Mechanical Engineering,机械工程,21,克罗地亚,08,工学
1009 Special Medicine,特种医学,21,克罗地亚,10,医学
0401 Education,教育学,20,克罗地亚,04,教育学
0806 Metallurgical Engineering,冶金工程,19,克罗地亚,08,工学
0827 Nuclear Science and Technology,核科学与技术,19,克罗地亚,08,工学
0706 Atmospheric Science,大气科学,17,克罗地亚,07,理学
0810 Information and Communication Engineering,信息与通信工程,17,克罗地亚,08,工学
0817 Chemical Engineering and Technology,化学工程与技术,17,克罗地亚,08,工学
0832 Food Science and Engineering,食品科学与工程,15,克罗地亚,08,工学
0713 Ecology,生态学,14,克罗地亚,07,理学
0836 Biotechnology and Bioengineering,生物工程,14,克罗地亚,08,工学
1007 Pharmaceutical Science,药学,14,克罗地亚,10,医学
0831 Biomedical Engineering,生物医学工程,13,克罗地亚,08,工学
0835 Software Engineering,软件工程,13,克罗地亚,08,工学
0714 Statistics,统计学,12,克罗地亚,07,理学
0808 Electrical Engineering,电气工程,12,克罗地亚,08,工学
0811 Control Science and Engineering,控制科学与工程,12,克罗地亚,08,工学
0803 Optical Engineering,光学工程,11,克罗地亚,08,工学
0823 Transportation Engineering,交通运输工程,11,克罗地亚,08,工学
1202 Business Administration,工商管理,11,克罗地亚,12,管理学
0816 Surveying and Mapping,测绘科学与技术,10,克罗地亚,08,工学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,10,克罗地亚,08,工学
1003 Stomatology,口腔医学,10,克罗地亚,10,医学
0303 Sociology,社会学,9,克罗地亚,03,法学
0403 Physical Education and Sport Science,体育学,9,克罗地亚,04,教育学
0705 Geography,地理学,9,克罗地亚,07,理学
0709 Geology,地质学,9,克罗地亚,07,理学
0901 Crop Science,作物学,9,克罗地亚,09,农学
1201 Management Science and Engineering,管理科学与工程,9,克罗地亚,12,管理学
0815 Hydraulic Engineering,水利工程,8,克罗地亚,08,工学
0825 Aerospace Science and Technology,航空宇航科学与技术,7,克罗地亚,08,工学
0908 Fisheries,水产,7,克罗地亚,09,农学
0707 Marine Science,海洋科学,6,克罗地亚,07,理学
0907 Forestry,林学,6,克罗地亚,09,农学
0202 Applied Economics,应用经济学,5,克罗地亚,02,经济学
0711 Systems Science,系统科学,5,克罗地亚,07,理学
0833 Urban and Rural Planning,城乡规划学,5,克罗地亚,08,工学
0301 Law,法学,4,克罗地亚,03,法学
0712 History of Science and Technology,科学技术史,4,克罗地亚,07,理学
0809 Electronic Science and Technology,电子科学与技术,4,克罗地亚,08,工学
0819 Mining Engineering,矿业工程,4,克罗地亚,08,工学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,4,克罗地亚,09,农学
0905 Animal Science,畜牧学,4,克罗地亚,09,农学
0201 Theoretical Economics,理论经济学,3,克罗地亚,02,经济学
0601 Archaeology,考古学,3,克罗地亚,06,历史学
0813 Architecture,建筑学,3,克罗地亚,08,工学
0822 Light Industry Technology and Engineering,轻工技术与工程,3,克罗地亚,08,工学
0828 Agricultural Engineering,农业工程,3,克罗地亚,08,工学
0837 Safety Science and Engineering,安全科学与工程,3,克罗地亚,08,工学
0906 Veterinary Medicine,兽医学,3,克罗地亚,09,农学
0302 Political Science,政治学,2,克罗地亚,03,法学
0818 Geological Resources and Geological Engineering,地质资源与地质工程,2,克罗地亚,08,工学
0904 Plant Protection,植物保护,2,克罗地亚,09,农学
1204 Public Administration,公共管理,2,克罗地亚,12,管理学
1205 Library and Information Science & Archive Management,图书情报与档案管理,2,克罗地亚,12,管理学
0826 Armament Science and Technology,兵器科学与技术,1,克罗地亚,08,工学
0902 Horticulture,园艺学,1,克罗地亚,09,农学
0909 Grassland Science,草学,1,克罗地亚,09,农学
1008 Chinese Materia Medica,中药学,1,克罗地亚,10,医学
1203 Economics and Management of Agriculture and Forestry,农林经济管理,1,克罗地亚,12,管理学
0702 Physics,物理学,2007,匈牙利,07,理学
0704 Astronomy,天文学,733,匈牙利,07,理学
0710 Biology,生物学,303,匈牙利,07,理学
1002 Clinical Medicine,临床医学,283,匈牙利,10,医学
0703 Chemistry,化学,266,匈牙利,07,理学
0805 Materials Science and Engineering,材料科学与工程,204,匈牙利,08,工学
0827 Nuclear Science and Technology,核科学与技术,179,匈牙利,08,工学
0804 Instrumentation Science and Technology,仪器科学与技术,156,匈牙利,08,工学
1001 Basic Medicine,基础医学,151,匈牙利,10,医学
0830 Environmental Science and Engineering,环境科学与工程,139,匈牙利,08,工学
0701 Mathematics,数学,113,匈牙利,07,理学
0820 Oil and Natural Gas Engineering,石油与天然气工程,97,匈牙利,08,工学
0812 Computer Science and Technology,计算机科学与技术,96,匈牙利,08,工学
0708 Geophysics,地球物理学,89,匈牙利,07,理学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,83,匈牙利,10,医学
0806 Metallurgical Engineering,冶金工程,76,匈牙利,08,工学
0706 Atmospheric Science,大气科学,73,匈牙利,07,理学
1400 Cross-field,,72,匈牙利,14,跨学科
0801 Mechanics,力学,63,匈牙利,08,工学
0802 Mechanical Engineering,机械工程,63,匈牙利,08,工学
1009 Special Medicine,特种医学,57,匈牙利,10,医学
1010 Medical Technology,医学技术,57,匈牙利,10,医学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,53,匈牙利,08,工学
0814 Civil Engineering,土木工程,53,匈牙利,08,工学
0803 Optical Engineering,光学工程,52,匈牙利,08,工学
0835 Software Engineering,软件工程,52,匈牙利,08,工学
0401 Education,教育学,51,匈牙利,04,教育学
1201 Management Science and Engineering,管理科学与工程,51,匈牙利,12,管理学
0714 Statistics,统计学,45,匈牙利,07,理学
1007 Pharmaceutical Science,药学,45,匈牙利,10,医学
0810 Information and Communication Engineering,信息与通信工程,44,匈牙利,08,工学
0402 Psychology,心理学,42,匈牙利,04,教育学
0713 Ecology,生态学,40,匈牙利,07,理学
0811 Control Science and Engineering,控制科学与工程,40,匈牙利,08,工学
0831 Biomedical Engineering,生物医学工程,39,匈牙利,08,工学
0816 Surveying and Mapping,测绘科学与技术,37,匈牙利,08,工学
0825 Aerospace Science and Technology,航空宇航科学与技术,35,匈牙利,08,工学
0705 Geography,地理学,29,匈牙利,07,理学
1003 Stomatology,口腔医学,28,匈牙利,10,医学
0712 History of Science and Technology,科学技术史,27,匈牙利,07,理学
0817 Chemical Engineering and Technology,化学工程与技术,25,匈牙利,08,工学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,25,匈牙利,08,工学
0815 Hydraulic Engineering,水利工程,24,匈牙利,08,工学
0303 Sociology,社会学,23,匈牙利,03,法学
0832 Food Science and Engineering,食品科学与工程,22,匈牙利,08,工学
0836 Biotechnology and Bioengineering,生物工程,21,匈牙利,08,工学
1008 Chinese Materia Medica,中药学,21,匈牙利,10,医学
0809 Electronic Science and Technology,电子科学与技术,20,匈牙利,08,工学
0711 Systems Science,系统科学,18,匈牙利,07,理学
0901 Crop Science,作物学,16,匈牙利,09,农学
1202 Business Administration,工商管理,15,匈牙利,12,管理学
0709 Geology,地质学,14,匈牙利,07,理学
0906 Veterinary Medicine,兽医学,14,匈牙利,09,农学
0823 Transportation Engineering,交通运输工程,13,匈牙利,08,工学
0837 Safety Science and Engineering,安全科学与工程,13,匈牙利,08,工学
1205 Library and Information Science & Archive Management,图书情报与档案管理,13,匈牙利,12,管理学
0707 Marine Science,海洋科学,11,匈牙利,07,理学
0828 Agricultural Engineering,农业工程,11,匈牙利,08,工学
1204 Public Administration,公共管理,11,匈牙利,12,管理学
0302 Political Science,政治学,10,匈牙利,03,法学
0833 Urban and Rural Planning,城乡规划学,10,匈牙利,08,工学
0503 Journalism and Communication,新闻传播学,9,匈牙利,05,文学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,9,匈牙利,09,农学
0101 Philosophy,哲学,8,匈牙利,01,哲学
0818 Geological Resources and Geological Engineering,地质资源与地质工程,8,匈牙利,08,工学
0819 Mining Engineering,矿业工程,8,匈牙利,08,工学
0908 Fisheries,水产,8,匈牙利,09,农学
0808 Electrical Engineering,电气工程,7,匈牙利,08,工学
0907 Forestry,林学,7,匈牙利,09,农学
0301 Law,法学,6,匈牙利,03,法学
0904 Plant Protection,植物保护,6,匈牙利,09,农学
0603 World History,世界史,5,匈牙利,06,历史学
0905 Animal Science,畜牧学,5,匈牙利,09,农学
0821 Textile Science and Engineering,纺织科学与工程,4,匈牙利,08,工学
0902 Horticulture,园艺学,4,匈牙利,09,农学
1203 Economics and Management of Agriculture and Forestry,农林经济管理,4,匈牙利,12,管理学
0202 Applied Economics,应用经济学,3,匈牙利,02,经济学
0304 Ethnology,民族学,3,匈牙利,03,法学
0403 Physical Education and Sport Science,体育学,3,匈牙利,04,教育学
0813 Architecture,建筑学,3,匈牙利,08,工学
0826 Armament Science and Technology,兵器科学与技术,3,匈牙利,08,工学
0909 Grassland Science,草学,3,匈牙利,09,农学
1011 Nursing,护理学,3,匈牙利,10,医学
0201 Theoretical Economics,理论经济学,2,匈牙利,02,经济学
0834 Landscape Architecture,风景园林学,1,匈牙利,08,工学
1005 Chinese Medicine,中医学,1,匈牙利,10,医学
1303 Drama Film and Television,戏剧与影视学,1,匈牙利,13,艺术学
1305 Design,设计学,1,匈牙利,13,艺术学
0702 Physics,物理学,1161,塞尔维亚,07,理学
0704 Astronomy,天文学,393,塞尔维亚,07,理学
1002 Clinical Medicine,临床医学,187,塞尔维亚,10,医学
0701 Mathematics,数学,148,塞尔维亚,07,理学
0703 Chemistry,化学,86,塞尔维亚,07,理学
0805 Materials Science and Engineering,材料科学与工程,74,塞尔维亚,08,工学
0710 Biology,生物学,72,塞尔维亚,07,理学
1001 Basic Medicine,基础医学,69,塞尔维亚,10,医学
0812 Computer Science and Technology,计算机科学与技术,60,塞尔维亚,08,工学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,58,塞尔维亚,10,医学
0804 Instrumentation Science and Technology,仪器科学与技术,52,塞尔维亚,08,工学
0830 Environmental Science and Engineering,环境科学与工程,44,塞尔维亚,08,工学
0820 Oil and Natural Gas Engineering,石油与天然气工程,29,塞尔维亚,08,工学
0711 Systems Science,系统科学,28,塞尔维亚,07,理学
1201 Management Science and Engineering,管理科学与工程,28,塞尔维亚,12,管理学
1007 Pharmaceutical Science,药学,27,塞尔维亚,10,医学
0803 Optical Engineering,光学工程,25,塞尔维亚,08,工学
0801 Mechanics,力学,23,塞尔维亚,08,工学
0802 Mechanical Engineering,机械工程,23,塞尔维亚,08,工学
0402 Psychology,心理学,21,塞尔维亚,04,教育学
0806 Metallurgical Engineering,冶金工程,21,塞尔维亚,08,工学
0811 Control Science and Engineering,控制科学与工程,21,塞尔维亚,08,工学
0708 Geophysics,地球物理学,19,塞尔维亚,07,理学
0809 Electronic Science and Technology,电子科学与技术,19,塞尔维亚,08,工学
0810 Information and Communication Engineering,信息与通信工程,17,塞尔维亚,08,工学
0814 Civil Engineering,土木工程,17,塞尔维亚,08,工学
0836 Biotechnology and Bioengineering,生物工程,17,塞尔维亚,08,工学
1202 Business Administration,工商管理,17,塞尔维亚,12,管理学
0713 Ecology,生态学,16,塞尔维亚,07,理学
0817 Chemical Engineering and Technology,化学工程与技术,16,塞尔维亚,08,工学
0832 Food Science and Engineering,食品科学与工程,16,塞尔维亚,08,工学
0831 Biomedical Engineering,生物医学工程,15,塞尔维亚,08,工学
0835 Software Engineering,软件工程,15,塞尔维亚,08,工学
0705 Geography,地理学,14,塞尔维亚,07,理学
0815 Hydraulic Engineering,水利工程,13,塞尔维亚,08,工学
1400 Cross-field,,13,塞尔维亚,14,跨学科
0303 Sociology,社会学,12,塞尔维亚,03,法学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,12,塞尔维亚,08,工学
0823 Transportation Engineering,交通运输工程,12,塞尔维亚,08,工学
0401 Education,教育学,11,塞尔维亚,04,教育学
0706 Atmospheric Science,大气科学,11,塞尔维亚,07,理学
0825 Aerospace Science and Technology,航空宇航科学与技术,10,塞尔维亚,08,工学
0901 Crop Science,作物学,10,塞尔维亚,09,农学
0808 Electrical Engineering,电气工程,9,塞尔维亚,08,工学
0833 Urban and Rural Planning,城乡规划学,9,塞尔维亚,08,工学
0816 Surveying and Mapping,测绘科学与技术,8,塞尔维亚,08,工学
0828 Agricultural Engineering,农业工程,8,塞尔维亚,08,工学
0709 Geology,地质学,7,塞尔维亚,07,理学
0818 Geological Resources and Geological Engineering,地质资源与地质工程,7,塞尔维亚,08,工学
0819 Mining Engineering,矿业工程,7,塞尔维亚,08,工学
1009 Special Medicine,特种医学,7,塞尔维亚,10,医学
1010 Medical Technology,医学技术,7,塞尔维亚,10,医学
0302 Political Science,政治学,6,塞尔维亚,03,法学
0403 Physical Education and Sport Science,体育学,6,塞尔维亚,04,教育学
0813 Architecture,建筑学,6,塞尔维亚,08,工学
0827 Nuclear Science and Technology,核科学与技术,6,塞尔维亚,08,工学
0837 Safety Science and Engineering,安全科学与工程,6,塞尔维亚,08,工学
0905 Animal Science,畜牧学,6,塞尔维亚,09,农学
0907 Forestry,林学,6,塞尔维亚,09,农学
1204 Public Administration,公共管理,6,塞尔维亚,12,管理学
0714 Statistics,统计学,5,塞尔维亚,07,理学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,5,塞尔维亚,08,工学
1008 Chinese Materia Medica,中药学,5,塞尔维亚,10,医学
1205 Library and Information Science & Archive Management,图书情报与档案管理,5,塞尔维亚,12,管理学
0301 Law,法学,4,塞尔维亚,03,法学
0503 Journalism and Communication,新闻传播学,4,塞尔维亚,05,文学
0826 Armament Science and Technology,兵器科学与技术,4,塞尔维亚,08,工学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,4,塞尔维亚,09,农学
1003 Stomatology,口腔医学,4,塞尔维亚,10,医学
1203 Economics and Management of Agriculture and Forestry,农林经济管理,4,塞尔维亚,12,管理学
1302 Music and Dance,音乐与舞蹈学,4,塞尔维亚,13,艺术学
0101 Philosophy,哲学,3,塞尔维亚,01,哲学
0603 World History,世界史,3,塞尔维亚,06,历史学
0712 History of Science and Technology,科学技术史,3,塞尔维亚,07,理学
0202 Applied Economics,应用经济学,2,塞尔维亚,02,经济学
0707 Marine Science,海洋科学,2,塞尔维亚,07,理学
0902 Horticulture,园艺学,2,塞尔维亚,09,农学
0908 Fisheries,水产,2,塞尔维亚,09,农学
0201 Theoretical Economics,理论经济学,1,塞尔维亚,02,经济学
0821 Textile Science and Engineering,纺织科学与工程,1,塞尔维亚,08,工学
0829 Forestry Engineering,林业工程,1,塞尔维亚,08,工学
0909 Grassland Science,草学,1,塞尔维亚,09,农学
0702 Physics,物理学,1828,希腊,07,理学
0704 Astronomy,天文学,628,希腊,07,理学
1002 Clinical Medicine,临床医学,550,希腊,10,医学
0703 Chemistry,化学,329,希腊,07,理学
0812 Computer Science and Technology,计算机科学与技术,255,希腊,08,工学
0710 Biology,生物学,241,希腊,07,理学
0810 Information and Communication Engineering,信息与通信工程,232,希腊,08,工学
0830 Environmental Science and Engineering,环境科学与工程,232,希腊,08,工学
0805 Materials Science and Engineering,材料科学与工程,226,希腊,08,工学
1001 Basic Medicine,基础医学,209,希腊,10,医学
0701 Mathematics,数学,205,希腊,07,理学
0827 Nuclear Science and Technology,核科学与技术,147,希腊,08,工学
0804 Instrumentation Science and Technology,仪器科学与技术,144,希腊,08,工学
0708 Geophysics,地球物理学,136,希腊,07,理学
0820 Oil and Natural Gas Engineering,石油与天然气工程,109,希腊,08,工学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,102,希腊,10,医学
0809 Electronic Science and Technology,电子科学与技术,100,希腊,08,工学
1201 Management Science and Engineering,管理科学与工程,91,希腊,12,管理学
0706 Atmospheric Science,大气科学,86,希腊,07,理学
0803 Optical Engineering,光学工程,86,希腊,08,工学
0817 Chemical Engineering and Technology,化学工程与技术,85,希腊,08,工学
0814 Civil Engineering,土木工程,79,希腊,08,工学
0823 Transportation Engineering,交通运输工程,72,希腊,08,工学
0835 Software Engineering,软件工程,70,希腊,08,工学
0816 Surveying and Mapping,测绘科学与技术,67,希腊,08,工学
0811 Control Science and Engineering,控制科学与工程,64,希腊,08,工学
0808 Electrical Engineering,电气工程,63,希腊,08,工学
0801 Mechanics,力学,62,希腊,08,工学
1010 Medical Technology,医学技术,62,希腊,10,医学
0806 Metallurgical Engineering,冶金工程,61,希腊,08,工学
